SCHOOL CODE,NAME,AFFILIATION_NO.,STREET ADDRESS,STATE,CITY,PINCODE,GENDER,CATEGORIES 1,CATEGORIES 2,TYPES 1,TYPES 2,NAME OF THE HEAD,PHONE 1,PHONE 2,PHONE 3,EMAIL_ID,WEBSITE,YEAR_OF_FOUNDATION,DATE_OF_OPENING,STATUS_OF_AFFILIATION,AFFILIATION_FROM,AFFILIATION_TO,NAME_OF_TRUST_SOCIETY_MANAGING_COMMITTEE,LOCALITY,COUNTRY,PHONE 4,PHONE 5,IMAGE URL,WORKING HOURS,DETAILS,SERVICES,FAX NO,PROFESSIONAL QUALIFICATIONS,NUMBER OF EXPERIENCE YEARS,ADMINISTRATIVE,TEACHING,extra,SOURCE URL,PERSON TO CONTACT,PLACE_ID,SOURCE
,COLONEL'S ACADEMY,1030139,51 SILVER OAKS ESTATE BERCHA ROAD MHOW  DISTT INDORE  MADHYA PRADESH,MADHYA PRADESH,INDORE,453442,,,Provisional,CBSE,,Mr. MRS KERAN BAHADUR,"271286
                        ,",,272313,info@colonelsacademy.com,http://www.colonelsacadem,1995,4/2/2002 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,COLONES'S EDU & CULTRUAL SOCIETY,Mhow,India,(0731) 3207411,,,,,,,,,,,,,,ChIJX9G8FZj3YjkRuytivbQsZAk,SOURCE 7
,DIVYA PUBLIC SCHOOL,2630062,SECTOR - 44 D  CHANDIGARH,CHANDIGARH,CHANDIGARH(UT),160047,,,Provisional,CBSE,,RATTAN SINGH,"989728228
                        ,",,241465,rajesh1267@yahoo.com,http://www.divyapublicschool.com,1995,7/1/1983 0:00,Secondary School,1/4/2017,31/3/2022,LOKMANYA SHIKSHA SAMITI,Sector 44D,India,(0172) 2600808,,"http://localserviceassets.blob.core.windows.net:80/businessphoto-t/Picture%20046-5179cfc8-254a-4b08-8f10-bd8f4d50d9d4.jpg , http://localserviceassets.blob.core.windows.net:80/businessphoto-m/Picture%20046-5179cfc8-254a-4b08-8f10-bd8f4d50d9d4.jpg , ",,,,,,,,,,,,ChIJJYLybTTsDzkRgX4ncNszWgo,SOURCE 7
,GOLDEN INTERNATIONAL SCHOOL,1030388,RAU-RANGWASA  CAT ROAD,MADHYA PRADESH,INDORE,453331,,,Provisional,CBSE,,MANISH SINHA,"08151238766
                        ,",,,gischool.indore@rediffmail.com,http://www.gisindore.in,2007,6/15/2007 0:00,Senior Secondary,1/4/2014,31/ 3/ 2019,New Golden Group Education Society,M G Road,India,(0731) 2342725, 0731 - 2857050,,,,,,,,,,,,,ChIJc4CrL1X5YjkR1XuBr36XxIc,SOURCE 7
,Jnana Sweekar Public School,830247,Sy. 19/1 & 19/2  Thalagatpura Villege  Kanakapura Main Road  Bangalore.,KARNATAKA,BANGALORE,560062,,,Provisional,CBSE,,Vidya.G.Rotti,"080-28427472
                        ,",,22458,info@janasweekar.com,http://www.jnanasweekar.com,2007,6/4/2007 0:00,Secondary School,1/4/2017,31/3/2022,Jnanasweekar Foundation,Kanakapura Road,India,40915393, 080 - 28427473,,Monday - Friday: 9 AM - 4 PM  Saturday: 9 AM - 1 PM,,,,,,,,,,Ravi,ChIJ-yyb23NArjsRNYX5-YTALcU,SOURCE 7
,MODERN SCHOOL,530012,SECTOR 17 FARIDABAD HARYANA,HARYANA,FARIDABAD,121002,,,Provisional,CBSE,,A.C.PACHAURY,"2411116
                        ,",281668,285773,moderned@satyam.net.in,www.modernschoolindia.com,1979,4/1/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,DIGAMBER JAIN SOCIETY FOR CHILD WEL,,India,(0129) 2281668, 0129 - 2281668,,,,,,,,,,,,,ChIJ2098mvaGDTkR5PHbBYINhjE,SOURCE 7
,PINEWOOD INTERNATIONAL  BOARDING SCHOOL,530512,VILLAGE PAWTA MAIN SOHNA ROAD DISTT FARIDABAD HARYANA,HARYANA,FARIDABAD,121004,,,Provisional,CBSE,,MRS NEELAM MOHAN,"27735
                        ,",,291525,kul_khalsa@yahoo.com,,1996,4/1/2005 0:00,Senior Secondary,1/4/2015,31/ 3/ 2020,PARMAR EDUCATIONAL & CUL SOC,Sohna Road,India,(0129) 2227735,,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,Narender Parmar,ChIJWSTcoD3fDDkRoKkE0X66hhQ,SOURCE 7
,PIONEER CONVENT SCHOOL,1030162,MAHALAXMI NAGAR OPP BOMBAY HOSPITAL RING ROAD  INDORE MADHYA PRADESH,MADHYA PRADESH,INDORE,452010,,,Provisional,CBSE,,MRS MRIDULA PATNI,"09918235808
                        ,",,570625,rishikulvidyapeeth92@yahoo.com,,1996,4/1/2005 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,MODERN PIONEER MGT & RES INSTITUTE,Mahalaxmi Nagar,India,(0731) 2551098,,,,,,,,,,,,,Patni,ChIJ6Y39alcdYzkR2b3BBlb1LBs,SOURCE 7
,SAN MARINO PUBLIC SCHOOL,1030376,Toll Tax Naka  Khandwa Road  Umrikhera  Distt Indore  Madhya Pradesh,MADHYA PRADESH,INDORE,452020,,,Provisional,CBSE,,Shweta Garg,"0731-3257776
                        ,",,,sanmarino.indore@rediffmail.com,,2001,7/2/2001 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,Marino Shiksha Seva Samiti,Khandwa Road,India,9981547641, 0731 - 2305570,,,,,,,,,,,,Mahesh Patidar,ChIJBydmRtb6YjkRC-wef0iVOd8,SOURCE 7
,SAUPIN'S SCHOOL,2630053,PLOT NO 14 SECTOR 32 A CHANDIGARH,CHANDIGARH,CHANDIGARH(UT),160047,,,Provisional,CBSE,,MR A B SIDHU,"2664732
                        ,",,,sss.school@gmail.com,,1993,7/9/2003 0:00,Senior Secondary,1/4/2014,31/ 3/ 2017,SAUPINS EDUCATIONAL FOUNDATION,,India,(0172) 2569241,,,,,,,,,,,,,,ChIJ8ZOG-FbsDzkRK63LCb0eE-M,SOURCE 7
,SUN FLOWER PUBLIC SCHOOL,2131168,164  ALLORA ENCLAVE  DAYAL BAGH,uttar pradesh,AGRA,282005,,,Provisional,CBSE,,SHUBHI PRASAD,"05491-225642
                        ,",,33204,animeshdayal@yahoo.com,,2008,4/1/2008 0:00,Secondary School,1/4/2013,31/3/2018,SUN FLOWER INSTITUTIONAL SOCIETY,,India,(0562) 2420045,,,,,,,,,,,,,,ChIJsRUDrPp5dDkRnZzM_l1Pen0,SOURCE 7
,MAHARISHI VIDYA MANDIR,,CAT ROAD RANGVASA INDORE MADHYA PRADESH,MADHYA PRADESH,INDORE,452001,,,,CBSE,,Mrs. ARCHANA DAVE,6464518,482210,0731-6464518,archana_dave1@rediff.com,http://www.mvmnew.com,,,,,,MAHARISHI SHIKSHA SANSTHAN,South Tukoganj,India,9827553661, 0731 - 2524578,,Monday - Saturday: 8 AM - 2 PM,,,,,,,,,,Archana,ChIJZ6kMmlT5YjkRAkNfoR-cAy4,SOURCE 1
KA117,Swargarani School,,   B.E.M.L. Layout Rajarajeshwari Nagar  Bangalore-560 098,Karnataka,Bangalore,560098,Co-ed. ,Day,Permanent,ICSE,,Sr. Ani  SVM , 080-28616826, 080-28616115 , 080-28601826 , swargarani_school@yahoo.com , ka117cisce.org ,,,Co-education Day Secondary School,,,,Raja Rajeshwari Nagar,India,(080) 28616115, 080 - 28601826,,,,,,,,,,,,Sidharthoram Singh,ChIJU5oPA64_rjsReqtxfVVKbJg,SOURCE 5
WB284,Mahavir Institute Of Education And Research,,   17/1 Canal Street  Kolkata Kolkata  NA-700 014 ,West Bengal,NA,700014,Co-ed. ,Day,Permanent,ICSE,ISC,Mr. Gerard  Gomes , 033-22655821, 033-22655822 ,22273092, mier.info@gmail.com , wb284cisce.org ,,,Co-Ed. Day Boarding Secondary School,,,,Entally,India,(033) 22655821,,,Monday - Saturday: 8 AM - 2.30 PM,,,,,,,,,,Maya Mishra,ChIJ1d2UO_h2AjoRbHG6jWDUbhE,SOURCE 5
,NATIONAL HILL VIEW PUBLIC SCHOOL,830080,IDEAL HOME TOWNSHIP RAJARAJESHWARI NAGAR BANGALORE  KARNATAKA,KARNATAKA,BANGALORE,560098,,,Provisional,CBSE,,MRS RAMA RANGANATHAN,"8602487
                        ,",5454215,,,http://www.nhvps.com,1999,6/12/1992 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,NATIONAL HILL VIEW PUB SCHOOL,Raja Rajeshwari Nagar,India,(080) 65703991, 080 - 28603163,,Monday - Friday: 8.30 AM - 3 PM  Saturday: 8.30 AM - 12.30 PM,,,,,,,,,,Rama Ranganathan,ChIJsT44wlM-rjsR9h1svotSeFk,SOURCE 7
,Orchids the international school,3630053,729 road no 36 jubliee hills hyderabad Adhnra Pradesh,TELANGANA,HYDERABAD,500034,,,Provisional,CBSE,,mr. b g ray,"08060017100
                        ,",,,chids_intl@yahoo.co.in,http://www.orchidsinternationalschool.com,2002,6/22/2010 0:00,Secondary School,1/4/2013,31/3/2018,sri gowtham academy of general & technical education,Jubilee Hills,India,(040) 49870323,,http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-00-00-e591564b-5fee-446c-b54e-82bcac219d46.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-01-27-12711b6f-bc8e-46d1-b9ee-b8845a686b72.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-03-04-d14274a0-9d76-47e3-9da9-112f305c0b71.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-03-16-eab50564-5d2a-4d36-9ade-2488c98dcc42.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-03-25-2142e982-95e2-4b7b-8f51-196d7ff6189d.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-03-46-22134c37-a5e4-4228-80b9-3a76c200000a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-03-59-483e08a9-975b-4882-a401-729890643049.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-04-14-2eda637e-3718-4bf4-842c-f32b4d099a15.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-04-24-1a2f9a39-bdd2-406b-9686-054a537ec38f.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-04-53-362799cb-e2fe-4332-a264-8a7640b3449a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-05-31-67f39f56-7680-46ac-9ddb-1f2d35c31c90.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-05-42-179bcfe8-08f3-4434-ac66-6ceba580d0f1.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-05-56-d1d76251-145e-4e71-8593-621457fa9b3c.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-06-04-c22ea780-2244-432d-a6d9-f7f0dca67d67.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-06-22-db770a1f-cd79-4a1f-ab20-123229c06224.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-06-42-fca4d0b9-aedd-4f82-bc74-82addc4d59b1.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-06-57-5f8b0d4d-461f-4b13-b4b7-f78b02c6ea5d.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-09-04-d35228f8-5551-4e3c-9772-4deda4956913.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-09-48-ae389f59-d7f0-41a1-a822-ce87ce1a2846.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-10-02-2662de39-97e3-4323-b13e-7d99ab7f99e0.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-10-29-0fd9b524-43e0-45ef-ba10-7a2684e8f15a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-t/11-11-2015%2018-11-46-3077d939-bf8e-49d1-bc81-5167fb22b384.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-00-00-e591564b-5fee-446c-b54e-82bcac219d46.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-01-27-12711b6f-bc8e-46d1-b9ee-b8845a686b72.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-03-04-d14274a0-9d76-47e3-9da9-112f305c0b71.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-03-16-eab50564-5d2a-4d36-9ade-2488c98dcc42.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-03-25-2142e982-95e2-4b7b-8f51-196d7ff6189d.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-03-46-22134c37-a5e4-4228-80b9-3a76c200000a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-03-59-483e08a9-975b-4882-a401-729890643049.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-04-14-2eda637e-3718-4bf4-842c-f32b4d099a15.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-04-24-1a2f9a39-bdd2-406b-9686-054a537ec38f.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-04-53-362799cb-e2fe-4332-a264-8a7640b3449a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-05-31-67f39f56-7680-46ac-9ddb-1f2d35c31c90.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-05-42-179bcfe8-08f3-4434-ac66-6ceba580d0f1.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-05-56-d1d76251-145e-4e71-8593-621457fa9b3c.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-06-04-c22ea780-2244-432d-a6d9-f7f0dca67d67.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-06-22-db770a1f-cd79-4a1f-ab20-123229c06224.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-06-42-fca4d0b9-aedd-4f82-bc74-82addc4d59b1.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-06-57-5f8b0d4d-461f-4b13-b4b7-f78b02c6ea5d.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-09-04-d35228f8-5551-4e3c-9772-4deda4956913.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-09-48-ae389f59-d7f0-41a1-a822-ce87ce1a2846.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-10-02-2662de39-97e3-4323-b13e-7d99ab7f99e0.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-10-29-0fd9b524-43e0-45ef-ba10-7a2684e8f15a.jpg   http://localserviceassets.blob.core.windows.net:80/businessphoto-m/11-11-2015%2018-11-46-3077d939-bf8e-49d1-bc81-5167fb22b384.jpg   ,Monday - Sunday: 8 AM - 12 PM,,,040-235566,,,15,10,,http://www.thelearningpoint.net/home/school-listings/cbse-13/ORCHIDS-THE-INTERNATIONAL-SCHOOL-729-ROAD-NO-36-JUBLIEE-HILLS-HYDERABAD-AP-130189,,ChIJ_T_4fjaRyzsR--7o6SrBdAE,SOURCE 7
PU072,Sacred Heart Convent School,,   Majitha  Rohri VillageAmritsar-143 601,Punjab,Amritsar,143601,Co-ed. ,Day,Provisional,ICSE,,Sr. Betsy  Betsy CSC, 0183-2774233, 0183-2773034 ,, shcmajitha14@gmail.com , pu072cisce.org ,,,,,,,,India,(0183) 2774233,,,,,,,,,,,,,Jisma,ChIJdYbO42zLGzkRliCDyUvn7E4,SOURCE 5
PU089,Sacred Heart Convent School,,   Catholic Centre  Beas P.O. Amritsar-143 201,Punjab,Amritsar,143201,Co-ed. ,Day,Provisional,ICSE,,Rev. Sr. Amala   M.J., 01853-645840, 01853-645841 ,, shcsbeas@gmail.com , pu089cisce.org ,,,,,,,,India,(0183) 2774233,,,,,,,,,,,,,Jisma,ChIJdYbO42zLGzkRliCDyUvn7E4,SOURCE 5
WB352,Gems Akademia International School,,   Bakrahat Road  Thakurpukur  P.O. Rasapunja  24 Parganas (S)  Kolkata  South 24 Parganas-700104,West Bengal,South 24 Parganas,700104,Co-ed. ,D/R,Provisional,ICSE,ISC,Mrs. Aditi  Mukherjee , 033-24980672, 033-40050136 ,, infoakademia@gemsindia.co.in , wb352cisce.org ,,,,,,,Thakurpukur,India,(033) 44138796,,,Monday - Saturday: 9.30 AM - 6.30 PM,,,,,,,,,,,ChIJJbwMRfJ6AjoR54Yes90-EA0,SOURCE 5
,Delhi Public School North Kolkata,2430187,48 A Bidyayatan Sarani  ,WEST BENGAL,NORTH 24-PARGANA,700035,,,Provisional,CBSE,,Mrs.T. Srivastava,"01675211666
                        ,",,,admin@dpsnorthkolkata.com,http://dpsnorthkolkata.com,2014,4/23/2014 0:00,Secondary School,1/4/2016,31/3/2019,Swabhumi Foundation,Bidhan Sarani,India,(033) 44505865,,,,,,,,,,,,,,ChIJEV6DLqmd-DkRmniY9L4sWjU,SOURCE 7
,ST. PETERS MODEL SCHOOL,3630064,4-7-19/63-67  RAGHAVENDRA NAGAR  NACHARAM  KAPRA MUNICIPALITY  RANGAREDDY DISTT.,TELANGANA,RANGAREDDY,500076,,,Provisional,CBSE,,SSONU IRRONI,"28820
                        ,",,,spmshyd_india@yahoo.co.in,http://WWW.stpetersmodelschool.com,1998,6/12/1999 0:00,Senior Secondary,1/4/2016,31/ 3/ 2021,Grameen Development Trust,Nacharam,India,(040) 47487447,,,,,,,,,,,,,Thirupathi Reddy,ChIJ____y8KhyzsRpu0h84J3UEE,SOURCE 7
,SAMATA VIDYALAYA SEC.& HR.SECONDARY URALI-DEVACHI,,SAMATA VIDYALAYA SEC.& HR.SECONDARY URALI-DEVACHI,Maharashtra,PUNE,412308,,,,CBSE,,,,,,,,,,,,,,Banjara Hills,India,9849355414,,,Monday - Saturday: 10 AM - 6 PM,,,,,,,,,http://www.thelearningpoint.net/home/school-listings/maharashtra-hsc-2/1105017-SAMATA-VIDYALAYA-SEC---HR-SECONDARY--URALI-DEVACHI,Sruinivas,ChIJ0V9rOVeNyzsRgA71ebFpYlw, SOURCE 6
KA049,Sree Rama Vidyalaya,830101,   9Th Main   2Nd Block Jaya Nagar  Bangalore-560 011,Karnataka,Bangalore,560011,Co-ed. ,Day,Permanent,ICSE,,Smt. E. S. Sunitha , 080-64501589, 080-64501588 ,044-24531454, principal.sreeramavidyalaya@gmail.com , ka049cisce.org ,1972,,Secondary School,,,J C KALA EDUCATIONAL & CUL TRUST,Jayanagar,India,080 - 64501589, 080 - 64501588,,,,,,,,3,7,,http://www.thelearningpoint.net/home/school-listings/cbse-23/SRI-RAMA-VIDYALAYA-103-2-JAKKUR-LAYOUT-BANGALORE-KARNATAKA-830101,ES Sunitha,ChIJ75lICZYVrjsRz5RRXuXV7Gs,SOURCE 5
,BOHRA PUBLIC SCHOOL,530196,BOHRA ENCLAVE EAST CHAWLA COLONY BALLABHGARH FARIDABAD HARYANA,HARYANA,FARIDABAD,121004,,,Provisional,CBSE,,RAJESH KUMAR SRIVASTAVA,"01637-250058
                        ,",5249515,,bohrapublicschool@yahoo.com,,1988,4/1/2001 0:00,Senior Secondary,1/4/2013,31/ 3/ 2018,PRAKASH EDUCATION SOCIETY,,India,0129 - 2542303, 0129 - 5249515,,,,,,,,,,,http://www.thelearningpoint.net/home/school-listings/cbse-20/B-P-S-PUB-SCHOOL-62-2-KM-STONE-MATHURA-ROAD-PALWAL-DISTT--FARIDABAD-HARYANA-530309,,ChIJO1-fJZvbDDkReFOUCPpYrgI,SOURCE 7
,SRI RAMA VIDYALAYA,830101,103/2 JAKKUR LAYOUT BANGALORE KARNATAKA,KARNATAKA,BANGALORE,560064,,,Provisional,CBSE,,P BRAHMANANDAM,"3637720
                        ,",26633517,044-24531454,svuthandi@gmail.com,,1972,6/2/2006 0:00,Secondary School,1/4/2017,31/3/2022,J C KALA EDUCATIONAL & CUL TRUST,Jayanagar,India,080 - 64501589, 080 - 64501588,,,,,,,,3,7,,http://www.thelearningpoint.net/home/school-listings/cbse-23/SRI-RAMA-VIDYALAYA-103-2-JAKKUR-LAYOUT-BANGALORE-KARNATAKA-830101,ES Sunitha,ChIJ75lICZYVrjsRz5RRXuXV7Gs,SOURCE 7
